player           ID,season  ID,match    ID,match date,home/away?,win/loss?,player style,player L/R?,opp    style,opp L/R?,player sets,opp. sets,game ID,player games,opp. games,server,point ID,player point,opp. point,serve result,serve location,return: cross/line,result,point winner,shot type,fore/back,cross/line,point length,error  pos.,comments
Anastasia Abramyan,,,2018-01-26,HOME,Win,,R,,R,0,0,,0,0,P,,0,0,S,B,C,U,O,T,F,C,L,W,
,,,,,,,,,,0,0,,0,0,P,,0,1,D,,,D,O,,,,S,,
,,,,,,,,,,0,0,,0,0,P,,0,2,F,C,C,W,O,S,F,C,M,,
,,,,,,,,,,0,0,,0,0,P,,0,3,F,C,N,F,P,T,F,C,S,N,
,,,,,,,,,,0,0,,0,0,P,,1,3,F,C,L,U,O,T,B,L,L,W,
,,,,,,,,,,0,0,,0,1,O,,0,0,F,B,C,U,O,T,F,C,M,L,
,,,,,,,,,,0,0,,0,1,O,,0,1,F,W,N,F,O,S,B,C,S,N,
,,,,,,,,,,0,0,,0,1,O,,0,2,S,B,C,U,P,S,F,L,M,L,
,,,,,,,,,,0,0,,0,1,O,,1,2,S,B,C,U,P,S,B,L,S,W,
,,,,,,,,,,0,0,,0,1,O,,2,2,S,B,C,F,O,T,F,C,M,W,
,,,,,,,,,,0,0,,0,1,O,,2,3,S,B,C,U,P,T,B,C,S,L,
,,,,,,,,,,0,0,,0,1,O,,3,3,F,C,C,U,O,T,B,L,L,N,
,,,,,,,,,,0,0,,0,2,P,,0,0,S,C,C,F,P,S,B,L,L,N,
,,,,,,,,,,0,0,,0,2,P,,1,0,F,W,C,U,O,T,F,C,S,N,
,,,,,,,,,,0,0,,0,2,P,,1,1,S,B,C,F,P,T,B,C,M,W,
,,,,,,,,,,0,0,,0,2,P,,2,1,F,B,L,F,P,T,F,C,S,N,
,,,,,,,,,,0,0,,0,2,P,,3,1,D,,,D,O,,,,S,,
,,,,,,,,,,0,0,,0,2,P,,3,2,F,W,C,U,O,T,B,L,M,L,
,,,,,,,,,,0,0,,0,2,P,,3,3,F,B,L,U,P,T,F,C,M,L,
,,,,,,,,,,0,0,,1,2,O,,0,0,F,B,C,U,P,T,B,L,L,L,
,,,,,,,,,,0,0,,1,2,O,,1,0,F,W,C,U,P,T,F,C,S,N,
,,,,,,,,,,0,0,,1,2,O,,2,0,F,W,C,W,O,O,,L,M,,
,,,,,,,,,,0,0,,1,2,O,,2,1,F,W,N,U,O,T,B,C,S,N,
,,,,,,,,,,0,0,,1,2,O,,2,2,F,C,C,U,P,T,F,C,M,N,
